dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,23,100,gate_l1_topk_proxy_h_lr,100,0.7821586988664366,0.8588657911194497,0.832256657214863
covtype_binary_20000,23,100,forward_f1_h_lr,100,0.7731582786287381,0.8437508442776736,0.8099182550923432
covtype_binary_20000,23,100,lofo_f1_h_lr,100,0.7795527156549521,0.85477698561601,0.8247509181554411
covtype_binary_20000,23,100,lofo_f1_bootstrap_h_lr,100,0.7807512889761846,0.8548332707942463,0.823773356313513
covtype_binary_20000,23,200,budget_prune_h_lr,200,0.772793759141882,0.8486461538461539,0.816650648786792
covtype_binary_20000,23,200,stable_budget_prune_h_lr,200,0.772793759141882,0.8486461538461539,0.816650648786792
covtype_binary_20000,23,200,gate_l1_topk_proxy_h_lr,200,0.7805480128363367,0.8595892432770481,0.8344970446319914
covtype_binary_20000,23,200,forward_f1_h_lr,200,0.7726829268292683,0.8487924953095685,0.8170554674210536
covtype_binary_20000,23,200,lofo_f1_h_lr,200,0.781840490797546,0.8561358348968104,0.8270835086031969
covtype_binary_20000,23,200,lofo_f1_bootstrap_h_lr,200,0.7821393523061825,0.8562201375859912,0.8263784005440212
covtype_binary_20000,23,400,budget_prune_h_lr,400,0.7812963879267689,0.8584422764227643,0.8325690989984925
covtype_binary_20000,23,400,stable_budget_prune_h_lr,200,0.772793759141882,0.8486461538461539,0.816650648786792
covtype_binary_20000,23,400,gate_l1_topk_proxy_h_lr,400,0.78035538005923,0.8599899937460913,0.834169869406821
covtype_binary_20000,23,400,forward_f1_h_lr,200,0.7726829268292683,0.8487924953095685,0.8170554674210536
covtype_binary_20000,23,400,lofo_f1_h_lr,400,0.7810650887573964,0.8582571607254534,0.8324750946001147
covtype_binary_20000,23,400,lofo_f1_bootstrap_h_lr,400,0.7810650887573964,0.8582571607254534,0.8324750946001147
covtype_binary_20000,29,25,budget_prune_h_lr,25,0.7404983639567078,0.8033458411507192,0.7455220412786968
covtype_binary_20000,29,25,stable_budget_prune_h_lr,25,0.7404983639567078,0.8033458411507192,0.7455220412786968
covtype_binary_20000,29,25,gate_l1_topk_proxy_h_lr,25,0.7796775769418661,0.840487554721701,0.8039132741480227
covtype_binary_20000,29,25,forward_f1_h_lr,25,0.7704511650966782,0.8321916197623515,0.7897795657931627
covtype_binary_20000,29,25,lofo_f1_h_lr,25,0.7739575713240673,0.8285683552220138,0.7779464339152857
covtype_binary_20000,29,25,lofo_f1_bootstrap_h_lr,25,0.7739575713240673,0.8285683552220138,0.7779464339152857
covtype_binary_20000,29,50,budget_prune_h_lr,50,0.7538578294965849,0.8251104440275172,0.7821280185650983
covtype_binary_20000,29,50,stable_budget_prune_h_lr,50,0.7538578294965849,0.8251104440275172,0.7821280185650983
covtype_binary_20000,29,50,gate_l1_topk_proxy_h_lr,50,0.7852941176470588,0.8458431519699813,0.8063080147720922
covtype_binary_20000,29,50,forward_f1_h_lr,50,0.7792715717428501,0.8398569105691057,0.8048032267915792
covtype_binary_20000,29,50,lofo_f1_h_lr,50,0.7800586510263929,0.8384297686053784,0.7950479613641501
