dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,25,0.9,109,8,226,17.949511542844817,0
covtype_binary_20000,1,50,0.75,1,9,424,18.001515209906387,1
covtype_binary_20000,1,50,0.75,2,12,563,18.043911706100044,1
covtype_binary_20000,1,50,0.75,3,16,466,18.043911706100044,1
covtype_binary_20000,1,50,0.75,4,18,101,18.043911706100044,1
covtype_binary_20000,1,50,0.75,5,3,295,18.02199090177309,1
covtype_binary_20000,1,50,0.75,6,6,539,18.043911706100044,1
covtype_binary_20000,1,50,0.75,7,23,491,18.043911706100044,1
covtype_binary_20000,1,50,0.75,8,1,129,0.3126433159738376,0
covtype_binary_20000,1,50,0.75,9,7,661,18.043911706100044,1
covtype_binary_20000,1,50,0.75,10,2,182,0.27242631377089327,0
covtype_binary_20000,1,50,0.75,11,12,643,18.043911706100044,1
covtype_binary_20000,1,50,0.75,12,12,467,18.043911706100044,1
covtype_binary_20000,1,50,0.75,13,6,460,18.043911706100044,1
covtype_binary_20000,1,50,0.75,14,12,767,18.043911706100044,1
covtype_binary_20000,1,50,0.75,15,8,5,18.01266436528935,1
covtype_binary_20000,1,50,0.75,16,8,15,17.14490337500966,0
covtype_binary_20000,1,50,0.75,17,9,20,17.79361485075294,0
covtype_binary_20000,1,50,0.75,18,6,646,18.043911706100044,1
covtype_binary_20000,1,50,0.75,19,6,550,18.043911706100044,1
covtype_binary_20000,1,50,0.75,20,12,868,18.021140297940615,1
covtype_binary_20000,1,50,0.75,21,32,594,18.043911706100044,1
covtype_binary_20000,1,50,0.75,22,1,376,1.0133269228547188,0
covtype_binary_20000,1,50,0.75,23,6,681,18.043911706100044,1
covtype_binary_20000,1,50,0.75,24,7,386,17.909542006082003,0
covtype_binary_20000,1,50,0.75,25,16,2,18.043911706100044,1
covtype_binary_20000,1,50,0.75,26,8,59,18.042180720483078,1
covtype_binary_20000,1,50,0.75,27,8,392,17.751709080159646,0
covtype_binary_20000,1,50,0.75,28,19,86,18.043911706100044,1
covtype_binary_20000,1,50,0.75,29,6,888,18.043911706100044,1
covtype_binary_20000,1,50,0.75,30,6,823,18.043911706100044,1
