dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,50,budget_prune,0.75,1,43,0.2073170731707317,0.7272727272727273
covtype_binary_20000,50,budget_prune,0.75,7,13,0.17857142857142858,0.5833333333333334
covtype_binary_20000,50,budget_prune,0.75,7,19,0.13793103448275862,0.8181818181818182
covtype_binary_20000,50,budget_prune,0.75,7,23,0.08791208791208792,0.7272727272727273
covtype_binary_20000,50,budget_prune,0.75,7,29,0.08791208791208792,0.5833333333333334
covtype_binary_20000,50,budget_prune,0.75,7,31,0.16470588235294117,0.45454545454545453
covtype_binary_20000,50,budget_prune,0.75,7,37,0.1927710843373494,0.5833333333333334
covtype_binary_20000,50,budget_prune,0.75,7,41,0.17857142857142858,0.7272727272727273
covtype_binary_20000,50,budget_prune,0.75,7,43,0.1511627906976744,0.6153846153846154
covtype_binary_20000,50,budget_prune,0.75,13,19,0.14942528735632185,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,13,23,0.16279069767441862,0.6
covtype_binary_20000,50,budget_prune,0.75,13,29,0.14942528735632185,0.7777777777777778
covtype_binary_20000,50,budget_prune,0.75,13,31,0.2345679012345679,0.4444444444444444
covtype_binary_20000,50,budget_prune,0.75,13,37,0.2345679012345679,0.7777777777777778
covtype_binary_20000,50,budget_prune,0.75,13,41,0.17647058823529413,0.6
covtype_binary_20000,50,budget_prune,0.75,13,43,0.2987012987012987,0.6363636363636364
covtype_binary_20000,50,budget_prune,0.75,19,23,0.3333333333333333,0.7
covtype_binary_20000,50,budget_prune,0.75,19,29,0.2987012987012987,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,19,31,0.07526881720430108,0.5555555555555556
covtype_binary_20000,50,budget_prune,0.75,19,37,0.17647058823529413,0.7
covtype_binary_20000,50,budget_prune,0.75,19,41,0.08695652173913043,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,19,43,0.12359550561797752,0.46153846153846156
covtype_binary_20000,50,budget_prune,0.75,23,29,0.35135135135135137,0.7777777777777778
covtype_binary_20000,50,budget_prune,0.75,23,31,0.07526881720430108,0.4444444444444444
covtype_binary_20000,50,budget_prune,0.75,23,37,0.13636363636363635,0.6
covtype_binary_20000,50,budget_prune,0.75,23,41,0.16279069767441862,0.7777777777777778
covtype_binary_20000,50,budget_prune,0.75,23,43,0.1111111111111111,0.6363636363636364
covtype_binary_20000,50,budget_prune,0.75,29,31,0.0989010989010989,0.4444444444444444
covtype_binary_20000,50,budget_prune,0.75,29,37,0.17647058823529413,0.6
